"origem","estado_origem","destino","estado_destino","aliquota"
PB,Paraíba,MG,Minas Gerais,12.0
PB,Paraíba,PA,Pará,12.0
PB,Paraíba,PR,Paraná,12.0
PB,Paraíba,PE,Pernambuco,12.0
PB,Paraíba,PI,Piauí,12.0
PB,Paraíba,RN,Rio Grande do Norte,12.0
PB,Paraíba,RS,Rio Grande do Sul,12.0
PB,Paraíba,RJ,Rio de Janeiro,12.0
PB,Paraíba,RO,Rondônia,12.0
PB,Paraíba,RR,Roraima,12.0
PB,Paraíba,SC,Santa Catarina,12.0
PB,Paraíba,SP,São Paulo,12.0
PB,Paraíba,SE,Sergipe,12.0
PB,Paraíba,TO,Tocantins,12.0
PR,Paraná,AC,Acre,7.0
PR,Paraná,AL,Alagoas,7.0
PR,Paraná,AM,Amazonas,7.0
PR,Paraná,AP,Amapá,7.0
PR,Paraná,BA,Bahia,7.0
PR,Paraná,CE,Ceará,7.0
PR,Paraná,DF,Distrito Federal,7.0
PR,Paraná,ES,Espírito Santo,7.0
PR,Paraná,GO,Goiás,7.0
PR,Paraná,MA,Maranhão,7.0
PR,Paraná,MT,Mato Grosso,7.0
PR,Paraná,MS,Mato Grosso do Sul,7.0
PR,Paraná,MG,Minas Gerais,12.0
PR,Paraná,PA,Pará,7.0
PR,Paraná,PB,Paraíba,7.0
PR,Paraná,PE,Pernambuco,7.0
PR,Paraná,PI,Piauí,7.0
PR,Paraná,RN,Rio Grande do Norte,7.0
PR,Paraná,RS,Rio Grande do Sul,12.0
PR,Paraná,RJ,Rio de Janeiro,12.0
PR,Paraná,RO,Rondônia,7.0
PR,Paraná,RR,Roraima,7.0
PR,Paraná,SC,Santa Catarina,12.0
PR,Paraná,SP,São Paulo,12.0
PR,Paraná,SE,Sergipe,7.0
PR,Paraná,TO,Tocantins,7.0
PE,Pernambuco,AC,Acre,12.0
PE,Pernambuco,AL,Alagoas,12.0
PE,Pernambuco,AM,Amazonas,12.0
PE,Pernambuco,AP,Amapá,12.0
PE,Pernambuco,BA,Bahia,12.0
PE,Pernambuco,CE,Ceará,12.0
PE,Pernambuco,DF,Distrito Federal,12.0
PE,Pernambuco,ES,Espírito Santo,12.0
PE,Pernambuco,GO,Goiás,12.0
PE,Pernambuco,MA,Maranhão,12.0
PE,Pernambuco,MT,Mato Grosso,12.0
PE,Pernambuco,MS,Mato Grosso do Sul,12.0
PE,Pernambuco,MG,Minas Gerais,12.0
PE,Pernambuco,PA,Pará,12.0
PE,Pernambuco,PB,Paraíba,12.0
PE,Pernambuco,PR,Paraná,12.0
PE,Pernambuco,PI,Piauí,12.0
PE,Pernambuco,RN,Rio Grande do Norte,12.0
PE,Pernambuco,RS,Rio Grande do Sul,12.0
PE,Pernambuco,RJ,Rio de Janeiro,12.0
PE,Pernambuco,RO,Rondônia,12.0
PE,Pernambuco,RR,Roraima,12.0
PE,Pernambuco,SC,Santa Catarina,12.0
PE,Pernambuco,SP,São Paulo,12.0
PE,Pernambuco,SE,Sergipe,12.0
PE,Pernambuco,TO,Tocantins,12.0
PI,Piauí,AC,Acre,12.0
PI,Piauí,AL,Alagoas,12.0
PI,Piauí,AM,Amazonas,12.0
PI,Piauí,AP,Amapá,12.0
PI,Piauí,BA,Bahia,12.0
PI,Piauí,CE,Ceará,12.0
PI,Piauí,DF,Distrito Federal,12.0
PI,Piauí,ES,Espírito Santo,12.0
PI,Piauí,GO,Goiás,12.0
PI,Piauí,MA,Maranhão,12.0
PI,Piauí,MT,Mato Grosso,12.0
PI,Piauí,MS,Mato Grosso do Sul,12.0
PI,Piauí,MG,Minas Gerais,12.0
PI,Piauí,PA,Pará,12.0
PI,Piauí,PB,Paraíba,12.0
PI,Piauí,PR,Paraná,12.0
PI,Piauí,PE,Pernambuco,12.0
PI,Piauí,RN,Rio Grande do Norte,12.0
PI,Piauí,RS,Rio Grande do Sul,12.0
PI,Piauí,RJ,Rio de Janeiro,12.0
PI,Piauí,RO,Rondônia,12.0
PI,Piauí,RR,Roraima,12.0
PI,Piauí,SC,Santa Catarina,12.0
PI,Piauí,SP,São Paulo,12.0
PI,Piauí,SE,Sergipe,12.0
PI,Piauí,TO,Tocantins,12.0
RN,Rio Grande do Norte,AC,Acre,12.0
RN,Rio Grande do Norte,AL,Alagoas,12.0
RN,Rio Grande do Norte,AM,Amazonas,12.0
RN,Rio Grande do Norte,AP,Amapá,12.0
RN,Rio Grande do Norte,BA,Bahia,12.0
RN,Rio Grande do Norte,CE,Ceará,12.0
RN,Rio Grande do Norte,DF,Distrito Federal,12.0
RN,Rio Grande do Norte,ES,Espírito Santo,12.0
RN,Rio Grande do Norte,GO,Goiás,12.0
RN,Rio Grande do Norte,MA,Maranhão,12.0
RN,Rio Grande do Norte,MT,Mato Grosso,12.0
RN,Rio Grande do Norte,MS,Mato Grosso do Sul,12.0
RN,Rio Grande do Norte,MG,Minas Gerais,12.0
RN,Rio Grande do Norte,PA,Pará,12.0
RN,Rio Grande do Norte,PB,Paraíba,12.0
RN,Rio Grande do Norte,PR,Paraná,12.0
RN,Rio Grande do Norte,PE,Pernambuco,12.0
RN,Rio Grande do Norte,PI,Piauí,12.0
RN,Rio Grande do Norte,RS,Rio Grande do Sul,12.0
RN,Rio Grande do Norte,RJ,Rio de Janeiro,12.0
RN,Rio Grande do Norte,RO,Rondônia,12.0
RN,Rio Grande do Norte,RR,Roraima,12.0
RN,Rio Grande do Norte,SC,Santa Catarina,12.0
RN,Rio Grande do Norte,SP,São Paulo,12.0
RN,Rio Grande do Norte,SE,Sergipe,12.0
RN,Rio Grande do Norte,TO,Tocantins,12.0
RS,Rio Grande do Sul,AC,Acre,7.0
RS,Rio Grande do Sul,AL,Alagoas,7.0
RS,Rio Grande do Sul,AM,Amazonas,7.0
RS,Rio Grande do Sul,AP,Amapá,7.0
RS,Rio Grande do Sul,BA,Bahia,7.0
RS,Rio Grande do Sul,CE,Ceará,7.0
RS,Rio Grande do Sul,DF,Distrito Federal,7.0
RS,Rio Grande do Sul,ES,Espírito Santo,7.0
RS,Rio Grande do Sul,GO,Goiás,7.0
RS,Rio Grande do Sul,MA,Maranhão,7.0
RS,Rio Grande do Sul,MT,Mato Grosso,7.0
RS,Rio Grande do Sul,MS,Mato Grosso do Sul,7.0
RS,Rio Grande do Sul,MG,Minas Gerais,12.0
RS,Rio Grande do Sul,PA,Pará,7.0
RS,Rio Grande do Sul,PB,Paraíba,7.0
RS,Rio Grande do Sul,PR,Paraná,12.0
RS,Rio Grande do Sul,PE,Pernambuco,7.0
RS,Rio Grande do Sul,PI,Piauí,7.0
RS,Rio Grande do Sul,RN,Rio Grande do Norte,7.0
RS,Rio Grande do Sul,RJ,Rio de Janeiro,12.0
RS,Rio Grande do Sul,RO,Rondônia,7.0
RS,Rio Grande do Sul,RR,Roraima,7.0
RS,Rio Grande do Sul,SC,Santa Catarina,12.0
RS,Rio Grande do Sul,SP,São Paulo,12.0
RS,Rio Grande do Sul,SE,Sergipe,7.0
RS,Rio Grande do Sul,TO,Tocantins,7.0
RJ,Rio de Janeiro,AC,Acre,7.0
RJ,Rio de Janeiro,AL,Alagoas,7.0
RJ,Rio de Janeiro,AM,Amazonas,7.0
RJ,Rio de Janeiro,AP,Amapá,7.0
RJ,Rio de Janeiro,BA,Bahia,7.0
RJ,Rio de Janeiro,CE,Ceará,7.0
RJ,Rio de Janeiro,DF,Distrito Federal,7.0
RJ,Rio de Janeiro,ES,Espírito Santo,7.0
RJ,Rio de Janeiro,GO,Goiás,7.0
RJ,Rio de Janeiro,MA,Maranhão,7.0
RJ,Rio de Janeiro,MT,Mato Grosso,7.0
RJ,Rio de Janeiro,MS,Mato Grosso do Sul,7.0
RJ,Rio de Janeiro,MG,Minas Gerais,12.0
RJ,Rio de Janeiro,PA,Pará,7.0
RJ,Rio de Janeiro,PB,Paraíba,7.0
RJ,Rio de Janeiro,PR,Paraná,12.0
RJ,Rio de Janeiro,PE,Pernambuco,7.0
RJ,Rio de Janeiro,PI,Piauí,7.0
